DATE,GDP At Current Market Prices,Goods Producing Industries,Accommodation and Food Services,Construction,Utilities,Other Goods Industries,Services Producing Industries,Wholesale & Retail Trade,Transportation & Storage,Accommodation & Food Services,Information & Communications,Finance & Insurance,"Real Estate, Services, Support",Other Services Industries,  Ownership Of Dwellings,  Gross Value Added At Basic Prices,  Add: Taxes On Products
1985 4Q ,-8.1,-19.4,-15.2,-29.7,-3.2,-22.2,-2.6,-12.8,3.8,-1.8,-5.5,6,-18.6,7.7,24.7,-8.1,-9.2
1985 3Q ,-4.2,-12.5,-9.8,-19.8,0.4,-12.5,-0.6,-9.5,6.5,-2.5,-0.1,8.1,-14.2,5.3,22.9,-4.4,1.7
1985 2Q ,-0.4,-10,-7.2,-17.6,6.2,-14.9,5.3,-0.8,1.1,-1.2,2.7,16.2,1.6,12.2,16,-0.3,-3.6
1985 1Q ,5.1,0.8,1.5,-0.8,10.6,-13.3,8,0,5.2,-0.6,9,15.9,8.5,15,0.6,5.1,5
1984 4Q ,7.8,8.4,9.8,7,9.1,-4.2,6.5,1.8,5.6,1,11.3,15.7,0.4,11,37.5,7.9,4.7
1984 3Q ,8.9,9.4,6.6,15.8,11.5,-1,6.9,1.5,2.2,0.5,11.6,16.7,3.6,13.7,41.4,8.6,16.2
1984 2Q ,9.6,12.3,10.7,18.2,6.7,-1.7,6.8,2.1,8.9,1.3,9.4,10.4,4.5,10.5,34.8,9.6,11
1984 1Q ,12.6,16.9,10.5,32.9,11.6,5.2,9.4,4.2,10.1,0.4,10.4,17.7,7.5,11.9,33.6,12.7,12.5
1983 4Q ,11.1,18.5,14.2,32.5,9.4,-2.5,5.9,6.7,13.2,2.6,1.8,0,8.2,4.2,42.9,10.9,16.4
1983 3Q ,13.7,16.4,10.9,32.4,17.1,-5.2,11.2,5.3,16.7,2.4,8.4,7,12.4,22.3,40.6,13.6,16.6
1983 2Q ,13.8,17.7,9.3,39.7,22.7,5.6,10.4,2.3,17.1,5.1,11.1,14,9.3,14.1,40.1,13.6,18.1
1983 1Q ,9.3,7,-2.9,36,15.4,-4.2,9.1,1.7,9.7,5.3,2.3,12.6,9,19.9,38.8,8.9,21.8
1982 4Q ,10.5,1.9,-9.8,36,23.5,-6.2,16.1,8.2,4.2,10.3,13.7,19.4,25.1,34.6,-1.9,10.4,13.5
1982 3Q ,9.8,7.1,-6.1,53.9,28.3,4,12.4,7.8,6.7,11.9,-0.1,13.8,20.6,22.5,-4.6,10,4.3
1982 2Q ,12.3,8.9,-2.9,53.8,25.5,1.1,15.1,6.5,9.4,15.9,6.6,14.8,30.3,26.8,-5.6,12.3,12.6
1982 1Q ,15.6,16.3,8.1,46.6,26.5,14.4,16.7,8.5,13.4,18.9,10.5,17.2,31.6,21.7,-5.8,16,5.5
1981 4Q ,17.8,18.7,13.9,47.4,-6.2,18.1,17.2,1.1,15.5,16.4,15.6,34.3,39.8,14.5,32.9,18,12.7
1981 3Q ,18.5,17.9,17.5,34.7,-15.9,12.9,18.9,0.7,13.6,18.9,29.3,38.3,43.3,17.7,31.2,18.7,13.8
