DATE,GDP At Current Market Prices,Goods Producing Industries,Accommodation and Food Services,Construction,Utilities,Other Goods Industries,Services Producing Industries,Wholesale & Retail Trade,Transportation & Storage,Accommodation & Food Services,Information & Communications,Finance & Insurance,"Real Estate, Services, Support",Other Services Industries,  Ownership Of Dwellings,  Gross Value Added At Basic Prices,  Add: Taxes On Products
2003 1Q ,3.9,3.4,7.9,-17.4,-2.3,-12.1,4.3,9.5,12.6,-0.4,6.7,-8.6,1.4,6.9,4.2,4,1.8
2002 4Q ,6.4,8.2,13.1,-13.9,3.8,-11.3,7.1,14.8,-2.5,0.5,-0.6,7.8,9.1,8.2,-3.8,7,-3.5
2002 3Q ,5.1,9.1,16.1,-17,-3.5,-9.3,5.6,17.6,-1.3,-4.4,-4.6,5.5,4.8,4.9,-6.3,6.3,-13.6
2002 2Q ,2.8,6,12.5,-16.3,-13.2,-11.6,2.9,9.8,2.2,-5.1,-6,-5.9,3.8,9.7,-7.1,3.5,-7.6
2002 1Q ,-2.2,-5.8,-4.9,-9.4,-7.5,-12.3,1,0.7,-1,-5.8,-2.5,-1.5,0.8,8.5,-3.5,-1.4,-14
2001 4Q ,-10.3,-20.5,-23.5,-11.2,0.5,-14.5,-3.8,-7.4,-10.1,-5.2,10.4,2.3,-7.3,0,2,-9.6,-19.9
2001 3Q ,-8.2,-16.8,-21.2,-5.3,17.6,-17.5,-2.2,-9.4,-12.4,0.4,15.4,-2,-3.1,11,3.7,-7.2,-21.2
2001 2Q ,0.3,-3.4,-6.9,-2,51.2,-9.4,4,-1,-7.1,3.8,19,10.6,1.2,13.1,5.8,1.5,-15
2001 1Q ,8.3,8.6,8.3,-0.9,47.4,-11.2,9.6,7.1,-1.7,4.6,26.2,12.1,4.8,22.2,6.9,9.2,-2.7
2000 4Q ,14.7,27.9,34.8,-2.1,35.5,-13.5,8.4,8.6,9.1,5,5,-1.4,8.4,19.2,4.7,14.6,17.1
2000 3Q ,14.6,23.7,32.4,-5.4,10.8,-4.4,10.6,16.2,11.3,7.3,10.3,-1.8,10,18.1,3,14.6,14.8
2000 2Q ,10.6,13.8,22.5,-11.4,-9.9,-8.6,7.4,10.8,9.5,3.7,9.3,-3.3,9,12.3,-0.3,9.2,33.5
2000 1Q ,12.8,10,21.7,-17.8,-18.5,2.6,11.8,15.3,12.3,8,9.1,13.8,10.2,8.7,-4.3,10.5,59.4
1999 4Q ,8.2,2.6,9.9,-16.3,-12.5,7.5,9.5,24.3,13.4,6.4,20.3,-8.9,10.7,6.4,-6.8,6.4,46
1999 3Q ,4.4,-0.3,5.3,-17.9,1.3,8.8,5.4,18.3,10.5,4.7,15.8,-7.6,4.3,-0.3,-9.1,2.8,34
1999 2Q ,1,-3.3,2.3,-17.7,-12.2,3.6,2.9,13.9,6.1,4.5,9.9,-3.2,-3.8,-0.6,-8.7,0.2,13.4
1999 1Q ,-5.8,-6.9,-6.8,-9.6,2.7,-11.1,-4.7,-1.5,4.3,-3.3,6.9,-18.1,-8.2,0.2,-7.6,-5.5,-10.4
1998 4Q ,-7.8,-8.6,-8.2,-10.3,-5.3,-17.2,-6.8,-5.3,-6.3,-6.8,0.7,-2.6,-14.1,-7.6,0.4,-7.1,-21.1
1998 3Q ,-6.2,-5,-4.7,-4.5,-9.5,-21.6,-5.8,-12.1,-0.6,-9.5,-1.5,-5.4,-9.3,0.9,3.9,-5.1,-21.9
1998 2Q ,-2.7,2.4,0,8.1,11.4,-24.1,-3.2,-8.9,-1.7,-6.4,2.2,-7.2,-0.4,4.7,7.2,-0.9,-25.7
1998 1Q ,3.5,11.9,10.2,15.6,20.1,-13.5,0.4,-3.9,0.3,-2.7,9.1,-4.4,2.9,8.3,9.3,4.4,-11.8
1997 4Q ,8,10.6,8.3,16.4,19.4,-8.7,7.2,-4.5,6.7,5.6,9.1,16.9,10.7,8.2,8.7,8.4,1.6
1997 3Q ,12.8,15,12.9,22.4,15.3,-7.2,12.1,6.4,5.4,10.5,15.7,28.9,10.7,8.3,9.7,13,10.4
1997 2Q ,11,5.8,2.9,13.1,16.7,1,12.5,7.7,6.6,9.2,15.6,32.5,6.1,10.4,10.2,10.1,24.5
1997 1Q ,6.2,-0.7,-5.4,12,19.3,3.5,10.6,4.6,4.2,7.4,8.1,27.1,9.1,9.3,10.7,6.7,-2.3
1996 4Q ,7.7,5.5,1.3,21,9.7,10.9,9.3,10,5.7,5.1,8.3,12.7,9.2,10,12,8.1,0.3
1996 3Q ,5.7,3.3,-2.5,20.7,28.1,14,6.8,6.8,0.8,2.1,5.1,4.4,11.9,12.3,12.9,5.9,3.7
1996 2Q ,10.2,10.3,6.2,26.2,15.6,18.2,10.3,10,4.6,7.7,8.5,7,17.9,13,12.8,10.4,7.7
1996 1Q ,13.3,20,18.9,29,4.6,9.1,12.8,14.9,5.4,10.4,7.9,10.7,19.2,15.1,14.2,15.2,-8.1
1995 4Q ,10.2,14.7,15,12,24.4,-5.4,8,10.3,5.7,9.7,18.3,3.2,16.1,1.5,17.2,10.6,4.4
